			LA	 				
Comeaux Family Cemetery	22565 Hwy. 16	Denham Springs	LA	 70726	225-664-8478			
Community Bible Church Mausoleum	136 East 40th Street	Cut Off	LA	 70345	985-632-3077			
Como Plantation Cemetery	5000 Como Road	City St. Francisville	LA	 70775	225-202-3091			
Concord Cemetery	Concord Church Road	Chatham	LA	 71226	318-388-2764			
Concord Garden of Memories	44530 Hood Road	Hammond	LA	 70401	225-562-9552			
Confederate Hill Memorial Garden	21268 Dutch Road	Franklinton	LA	 70438	985-335-5255			
Congr. Sacred Heart Roman Catholic Church Cemetery	200 W. Main St.	Broussard	LA	 70518	337-837-1864			
Congregation Agudath Achim Anshe Sfard Cemetery	4400 Elysian Fields Ave.	New Orleans	LA	 70122	504-782-7218			
Congregation Beth Israel Cemetery	4221 Frenchmen St.	New Orleans	LA	 70124	504-523-1155			
Consolota Mausoleum & Cemetery	2300 Country Club Road	Lake Charles	LA	 70605	337-477-5372			
Consuelo Cemetery	Hwy. 568	Waterproof	LA	 71375	318-749-5476			
Cooper Cemetery	6258 Hwy 190 W	Merryville	LA	 70653	832-429-9992			
Cooper Cemetery	Hwy. 445	Ponchatoula	LA	 70454	985-969-2921			
Cooper Cemetery	22836 Hwy 124	Jonesville	LA	 71343	318-339-8986			
Cooper Cemetery of the Sacred Heart Cemetery	Hickory Ridge Lane	Loranger	LA	 70446	985-345-3556			
Cornerstone Cemetery	494 Bethel Road	Logansport	LA	 71049	318-697-6652			
Cornerstone Cemetery	3830 Hwy 56	Houma	LA	 70363	985-879-2281			
Cornerview Cemetery	North Burnside Avenue & Cornerview Road	Gonzales	LA	 70737	225-647-6588			
Corney Hill Church of Christ Cemetery	662 Hwy. 15	Spearsville	LA	 71277	318-353-6389			
Cossinade Cemetery	7619 Cossinade Road	Kaplan	LA	 70548	337-643-6472			
Coteau Holmes Fellowship Cemetery	Bayou Portage Road	St. Martinville	LA	 70582	337-394-9298			
Cotile Baptist Church Cemetery	8735 Hwy. 1200	Boyce	LA	 71409	318-793-4569			
Cotton Valley Cemetery	Hwy. 160  East	Cotton Valley	LA	 71018	318-832-4633			
Cottonwood Cemetery	3713 la. Hwy. 81  North	Lottie	LA	 70756	225-637-3192			
Coulee Bethel Cemetery	Coulee Road - Hwy. 486	Campti	LA	 71411	318-476-2757			
County Line or Johnston Brothers Family Cemetery	County Line Road	Sikes	LA	 71473	318-388-0787			
Courtney Cemetery	Hwy. 1036	Holden	LA	 70744	225-939-8172			
Cox Cemetery	Parish Road 8-44	Iowa	LA	 70647	337-582-3403			
Cox Family Cemetery	6506 Old Monroe Road	Bastrop	LA	 71220	318-281-1142			
Cox's Cemetery	Parish Road 236 (Cox Road)	Sarepta	LA	 71071	318-847-4392			
Coyne Family Cemetery	19032 Weinberger Road	Ponchatoula	LA	 70454	985-981-6291			
Creel Memorial Gardens	1140 Camp Pearl Road	Reeves	LA	 70658	337-666-2477			
Crestview Cemetery	691 Holder Road	Farmerville	LA	 71241	318-368-8103			
Crochet's Family Cemetery	32615 Percy Young	Walker	LA	 70785	225-665-6065			
Crocker Family Cemetery	52452 Hwy. 1065  North	Independence	LA	 70443	985-878-8946			
Cross Roads Church Cemetery	9027 Hwy. 143	Farmerville	LA	 71241	318-726-5925			
Croughan Family  Cemetery	399 Croughan Road	Crowley	LA	 70526	337-581-4553			
Crowe Family Cemetery	1402 Heyward Street	Franklinton	LA	 70438-2419	985-839-2947			
Cruikshank Cemetery	Cruikshank Road	Colfax	LA	 71417	318-627-5591			
Cruse Family Cemetery	15644 Old McMichael Road	Amite	LA	 70422	985-517-6145			
Cuba Cemetery	Cuba Farm Road	Monroe	LA	 71201	318-388-2500			
Cushman Cemetery	Tarleton Street	Marksville	LA	 71351	318-253-7091			
Cynthia Wilson Memorial Cemetery	5276 Perryville Road	Collinston	LA	 71229	318-281-5024			
Cypress Grove Cemetery	Hwy. 566	Frogmore	LA	 71335	318-757-4467			
Cypress Grove Cemetery	Canal St & City Park Ave	New Orleans	LA	 70124	504-482-8983			
D & T Berry Cemetery	1108 Woods Road	Vinton	LA	 70668-5106	337-589-2653			
D.S. Burns Memorial Cemetery	D.L. Lacaze Road	Leesville	LA	 71446	337-383-7784			
Daigle Memorial Cemetery	3200 Hwy. 316	Gray	LA	 70359	985-876-7687			
Daigrepont Family Cemetery	442 Hwy. 453	Marksville	LA	 71351	318-253-4803			
Daniel Wall Family Cemetery	654 Daniel Wall Raod	Kentwood	LA	 70444	985-229-8100			
Danley Family Cemetery	523 Country Lane 	Oak Grove	LA	 71263	318-282-6077			
Danville Cemetery	Cemetery Road	Danville	LA	 71251	318-259-8592			
Darrell Durrett Memorial Cemetery	3130 Hwy. 105	Simmesport	LA	 71369	318-359-5564			
Daussin Cemetery	Turnpike Road	Goodbee	LA	 70433	504-277-4708			
Dauzat's Cemetery	8614 Hwy. 418	Innis	LA	 70747	225-492-2894			
David H. Wilcox Family Cemetery	8660 Sage Road	St. Francisville	LA	 70737	225-622-4685			
Davies Family Cemetery	Hwy. 22  East	Ponchatoula	LA	 70454	985-386-6741			
Davis Family Cemetery	244 Ouachita City Road	Sterlington	LA	 71280	318-726-4777			
Davis Springs South Methodist Church Cemetery	203 Davis Springs Road	Campti	LA	 71411	318-932-5274			
Davis-Dunn Family Cemetery	17249 Hwy. 67	Norwood	LA	 70761	225-683-3850			
Days Chapel Cemetery	Highway 10	Clinton	LA	 70722	225-683-8653			
DaySpring Memorial Gardens	2034 Hwy. 828	Farmerville	LA	 71241	318-726-5419			
De L'outre View Cemetery	Hwy. 549(Conway Community)	Marion	LA	 71260	337-368-3020			
De La Salle Christian Brothers Cemetery	1522 Carmel Drive	Lafayette	LA	 70501	504-319-9904			
Dear Family Cemetery	110 Roger Miller Road	Baskin	LA	 71219	318-435-6648			
Deer Dance	7249 Stirling Road	St. Francisville	LA	 70775	225-635-3260			
Delcambre Catholic Cemetery	Church Street	Delcambre	LA	 70528	337-685-4426			
DeLee Cemetery	Miller Road	Jackson	LA	 70730	832-549-1100			
Denham Springs Memorial Cemetery	Range Avenue  North	Denham Springs	LA	 70727	225-665-8121			
DeQuincy Colored Community Graveyard	Delores Pelillard Road	DeQuincy	LA	 70633	337-786-3707			
DeQuincy Memorial Park	Cemetery Road	DeQuincy	LA	 70633	337-786-4662			
DeRouen Cemetery	Lorrain Road	Hayes	LA	 70646	337-622-3267			
Deshotels Cemetery	Pine Point Community	Ville Platte	LA	 70586	337-468-4404			
Dewey Cemetery	Hwy. 129	New Era	LA	 71315	318-386-2324			
Dewey Deville Cemetery	Highway 1206	Deville	LA	 71328	318-466-3829			
Diamond T Cemetery	Finley Road	Benton	LA	 71006	318-564-5084			
Diciple Baptist Church Cemetery	1409 West Beech Street	Ville Platte	LA	 70586	337-363-1605			
Dickerson-Ellzey Cemetery	Dickerson & Henry Butler Road	Kentwood	LA	 70444	985-229-6484			
Dillard Cemetery	1475 Paul Road	Bogalusa	LA	 70427-7659	985-732-9628			
Dispersed of Judah Cemetery	4937 Canal St.	New Orleans	LA	 70119	504-861-3693			
Dodge Family Cemetery	211 Paradise Island Lane	Vick	LA	 71331	318-729-1189			
Dodge Family Cemetery	950 Horsepen Creek Road	Center Point	LA	 71323	318-253-8740			
Dogwood - Oaks	2923 Hwy. 499	Chatham	LA	 71226	318-246-5283			
Donald Davis Family Cemetery	21175 Perrin Ferry Road	Springfield	LA	 70462	985-318-4959			
Donaldsonville Protestant Cemetery	800 Block of St. Patrick	Donaldsonville	LA	 70346	225-473-9075			
Dorgan Family of Immaculate Conception Cemetery	6425 Rouge Road	Port Allen	LA	 70767	225-936-4530			
Dorhauer Family Cemetery	39592 Hess Road	Denham Springs	LA	 70706	225-665-2788			
Dosher Family Cemetery	172 Turner Road	Oak Grove	LA	 71263	318-428-2592			
Doucet Cemetery	Grand Marais Road	Hathaway	LA	 70546	337-824-6098			
Doug Decoteau Family Cemetery	15039 Hwy. 431	Prairieville	LA	 70769	225-622-1327			
Dowden's Cemetery	19004 Section Road	Covington	LA	 70435	985-898-0095			
Downs Cemetery	8770 Grabault Road	Mer Rouge	LA	 71261	504-368-2957			
Downs Family Cemetery	5725 Candice Lane	Bastrop	LA	 71220	318-283-5922			
Doyle Cemetery Annex	5050 Cupples Road	Starks	LA	 70661	337-743-6738			
Dubuisson Cemetery	16605 Hwy. 182	Bunkie	LA	 71322	318-346-7010			
Duck Hill Cemetery	23000 La. Hwy. 1032	Denham Springs	LA	 70726	225-665-8655			
Duffy Cemetery	Alex Broussard Road	Livingston	LA	 70754	225-686-2544			
Dufresne Family Cemetery	14041 River Road	Luling	LA	 70070	985-785-6711			
Dugas Cemetery	1401 Hwy. 55	Montegut	LA	 70377	985-594-5856			
Duhon Cemetery	Duhon Cemetery Road	Mermentau	LA	 70556	504-455-3804			
Dularge Community Baptist Cemetery	166 Williams Street	Houma	LA	 70363	985-873-9962			
Dunham Family Cemetery	139 Stevens Dunham Road	Delhi	LA	 71232	318-547-6792			
Dunk & John P. Jones Family Cemetery	14495 Ben Jones Road	Denham Springs	LA	 70726	225-241-9661			
Dunn Family Cemetery	973 Red River Levee Road	Cloutierville	LA	 71416	318-379-2640			
Dunn Hill	2127 Cora Road	Hineston	LA	 71438	318-419-1882			
Dunnington Family Cemetery	21395 Chappepeela Road	Loranger	LA	 70446	985-419-1065			
Duplechain Family Cemetery	Parish Road 156	Oberlin	LA	 70655	225-276-7727			
Duplissey Cemetery	157 Duplissey Road	Deville	LA	 71328	318-448-9633			
Dupont Baptist Church Cemetery	La. Highway 107	Dupont	LA	 71329	318-922-3839			
Dutch Cove Graveyard	2843 E. Bergstedt Road	Sulphur	LA	 70665	337-433-3004			
E J Black Family Cemetery	2718 Old Plain Dealing Road	Plain Dealing	LA	 71064-9321	318-326-5372			
E.S. Bankston Cemetery	12066 Sally Kinchen Road	Hammond	LA	 70401	985-956-7115			
Eastern Star Cemetery	Hwy. 68	Wilson	LA	 70789	225-629-5464			
Eastridge Cemetery	200 Eastridge Street	Welsh	LA	 70591	337-734-2231			
Ebenezer Baptist Church Cemetery	214 Ebenezer Road	Elm Grove	LA	 71051	318-987-3341			
Ebenezer Cemetery	Hwy. 153	Castor	LA	 71016	318-544-8869			
Ebenezer Cemetery	Ebenezer Church Road	Jonesboro	LA	 71251	318-259-8500			
Eddie & Pansy Wagner Cemetery	32268 Pea Ridge Road	Albany	LA	 70711	225-567-2524			
Edgar Deville Cemetery	E Deville Road	Deville	LA	 71328	318-769-1585			
Edgefield Cemetery	Bayou Road	Cheneyville	LA	 71325	318-279-2406			
Edwards Cemetery	Fuller Road	Couchwood	LA	 71018	318-747-5140			
Edwards Cemetery	22701 Hwy. 371	Cotton Valley	LA	 71018	318-832-4487			
Edwards/Westbrook Family Cemetery	21668 Corkern Road	Franklinton	LA	 70438	985-839-9192			
Edwin's Garden	396 Boykins Road	Sunset	LA	 70584	337-764-6593			
Effie Bible Missionary	2161 Effie Hwy.	Deville	LA	 71328	318-253-8946			
Egypt Hill Cemetery	Curtis Lane & Old Plain Dealing Road	Plain Dealing	LA	 71064	318-326-5993			
Egypt Hill Cemetery #2	2617 Old Plain Dealing Road	Plain Dealing	LA	 71060	318-469-5162			
Elbert Smart Cemetery	701 J.D. Hardy Road	Aimwell	LA	 71401	318-312-9567			
Elisha Memorial Cemetery	Highway 112	Glenmora	LA	 71433	318-447-1189			
Elizabeth Full Gospel Bapt. Ch. Memorial Cemetery	6996 Hwy 371	Coushatta	LA	 71019	318-932-9922			
Elizabeth Memorial Baptist Church Cemetery	7095 Branch Hwy.	Branch	LA	 70516	337-581-5340			
Ellard Cemetery	4468 Hwy 565	Jonesville	LA	 71343	225-776-9275			
Ellie Courtney Family Cemetery	31985 Courtney Circle	Walker	LA	 70785	985-606-2325			
Ellis Cemetery 	550 Bene Street	Franklinton	LA	 70438	985-839-5678			
Ellis Family Cemetery	8889 Hwy 105	Krotz Springs	LA	 70750	337-566-3702			
Ellis Family Graveyard	911 Ellis Road	Amite	LA	 70422	985-748-6038			
Elmy Cemetery	Black River Road	Jonesville	LA	 71343	318-339-6339			
Elroy Crochet Family Burial Ground	252 Mamou Prairie Road	Iota	LA	 70543	337-824-4622			
Elvy & Verdie Brouillette Family Cemetery	502 Mission Drive	Simmesport	LA	 71369	601-536-2400			
Emmanuel Baptist Church Cemetery 	2129 Hwy 1520	Donaldsonville	LA	 70346	225-473-5730			
Emmaus Baptist Church Cemetery	48218 Woodhaven Road	Tickfaw	LA	 70466	225-567-1235			
End ot the Trail	1338 Hwy 126	Jonesville	LA	 71343	318-339-8451			
English-Miley Family Cemetery	29574 D. C. Crain Road	Franklinton	LA	 70438	985-848-8480			
Epps Church of God in Christ Cemetery	187 Locust St.	Epps	LA	 71237	318-342-9147			
Erath Catholic Cemetery	700 South Broadway	Erath	LA	 70533-4011	337-937-6888			
Esther Community Cemetery a/k/a St. James Cemetery	Hwy. 82	Esther	LA	 70510	337-893-9585			
Estherwood Memorial Cemetery	Hwy. 1120  North	Estherwood	LA	 70534	337-783-6753			
Eternal Rest Cemetery	Armond Street	Ville Platte	LA	 70586	337-363-1555			
Eternal Rest Cemetery	Willis Courville Road	Elton	LA	 70532	337-442-5868			
Eternal Rest Cemetery	75212 Hwy 437	Covington	LA	 70435	985-893-2235			
Ethon's Gate	2326 Lake Road	Heflin	LA	 71039	318-299-0408			
Eunice North Cemetery	Parish Road	Eunice	LA	 70535	337-457-7658			
Eureka Lodge Cemetery	Boyd Street	New Orleans	LA	 70131	504-393-0302			
Eva Church of God Cemetery	255 Hwy. 908	Monterey	LA	 71354	318-386-7448			
Evangeline Cemetery	14521 Hwy. 84 West	Wildsville	LA	 71377	318-339-8681			
Evangeline Memorial Gardens	4113 N. University Avenue	Carencro	LA	 70520	337-896-8596			
Evangeline Memorial Park	1401Chataignier Road	Ville Platte	LA	 70586	337-363-7171			
Evans Creek Cemetery	Hwy. 41	Pearl River	LA	 70452-2736	985-863-3567			
Evans Field Cemetery	Hamil Street	Oil City	LA	 71061	318-995-6614			
Evans Richie Memorial Gardens	Hwy. 1  North	Vivian	LA	 71082	318-375-4652			
Evening Breeze Chouest Family Cemetery 	100 Evening Breeze Lane	Greensburg	LA	 70441	225-573-4713			
Evening Star Cemetery	Sanford Road	Baker	LA	 70714	225-775-6730			
Evergreen Baptist Church Cemetery	Highway 65	Lake Providence	LA	 71254	318-559-0128			
Evergreen Cemetery	Evergreen Church Road	Goldonna	LA	 71031	318-727-9507			
Evergreen Cemetery	Hwy. 175	Frierson	LA	 71027	318-458-2525			
Evergreen Memoeirl Cemetery	Evergreen Road	Minden	LA	 71055	318-377-6133			
Evergreen Memorial Park & Mausoleum	1710 S. Range Ave.	Denham Springs	LA	 70726-4040	225-665-9020			
Exnicios Family Cemetery	1/8 mile off Hwy 40 and Exnicios Dr	Folsom	LA	 70437	985-796-3545			
F. M. Hale Memorial Gadens	8556 Hosston-Vivian Road	Vivian	LA	 71082-8862	318-375-4964			
Fairland Baptist Cemetery	Pointe Coupee Road	New Roads	LA	 70760	225-638-6922			
Fairview Baptist Church Cemetery	Fairview Point Road	Koran	LA	 71051	318-987-3577			
Fairview-Alpha Baptist Church Cemetery	104 Hwy. 71/84	Coushatta	LA	 71019	318-932-6473			
Faith Community Cemetery	10469 Airline Hwy.	Gonzales	LA	 70737-7910	225-644-3111			
Faith Memorial Park Cemetery	7327 Hwy 17 South	Delhi	LA	 71232	318-878-5143			
Faith Memorial Sacred Gardens	Highway 154  South	Gibsland	LA	 71028	318-843-9910			
Faith Missionary Baptist Church Cemetery	30993 Hwy. 16	Denham Springs	LA	 70726	225-667-2626			
Faithful United Methodist Cemetery	14253 Hwy 431	St. Amant	LA	 70774	225-675-5167			
False River Memorial Park	2110 False River Road	New Roads	LA	 70760	504-392-2026			
Family of Angels Cemetery	150 Lucille Road	Mansura	LA	 71350	318-253-1722			
Farenzie Cemetery	Farenzie Road	Colfax	LA	 71417	318-627-5716			
Faul Family Cemetery	610 Mayo Road	Trout	LA	 71371	318-992-2984			
Feliciana Rest Cemetery	Hockaday Road	Slaughter	LA	 70777	225-683-9706			
Fellowship Baptist Cemetery	17400 Florida Boulevard	Holden	LA	 70744	225-567-1475			
Fellowship Baptist Church Cemetery	Highway 167	Quitman	LA	 71268	318-259-9220			
Fellowship Baptist Church Cemetery	270 Morgan Bayou Road	Coushatta	LA	 71019	318-797-2981			
Fellowship Cemetery	7426 Hwy 112	Elmer	LA	 71424	318-715-6216			
Fendlason Cemetery	Highway 1077	Folsom	LA	 70437	985-748-6852			
Fern Park Cemetery	1600 Texas St	Natchitoches	LA	 71457	318-201-4495			
Ficklin Family Cemetery	Joe Sevario Road  Hwy. 932	Gonzales	LA	 70769	225-622-1525			
First Baptist Church Cemetery	35058 Hwy. 1  North	Smoke Bend	LA	 70346	504-473-3515			
First Baptist Church Cemetery	Indian Bayou Road	Cottonport	LA	 71327	318-876-3714			
First Baptist Church Cemetery	Centerville Ave.	Denham Springs	LA	 70726	225-667-8352			
First Baptist Church Cemetery	1987 Hwy. 311	Schriever	LA	 70395	337-868-9909			
First Baptist Church Cemetery	14571 Old Spanish Trail	Paradis	LA	 70080	985-758-2428			
First Baptist Church Cemetery	Dodge & Third Streets	Melville	LA	 71353	337-623-4900			
First Baptist Church Cemetery	St. Charles Street	Thibodaux	LA	 70301-5887	318-443-5610			
First Baptist Church Cemetery #1	#1 Church Lane	Vacherie	LA	 70090	225-265-4015			
First Baptist Church Cemetery #2	Luther King Avenue	Vacherie	LA	 70090	225-265-4015			
First Baptist Church of French Settlement Cemetery	16735 LA Hwy 16	French Settlement	LA	 70733	225-698-9994			
First Baptist Church of Head of Island Cemetery	19114 Hwy 22	Maurepas	LA	 70449	225-405-1135			
First Home Mission Baptist Cemetery	St. Bernard Street	St. Martinville	LA	 70582	337-237-4198			
First Hope M.B.C. Church Cemetery	11066 Hwy. 71	Lebeau	LA	 71345	318-443-8618			
First Israel Baptist Church Cemetery	Hwy. 308	Bell Alliance	LA	 70341-0528	225-473-8822			
First St. Joseph Baptist Church Cemetery	1151 Carl Hunt Road	Bunkie	LA	 71322	318-346-8030			
First St. Paul Baptist Cemetery	Hwy. 115	Bay Hill	LA	 71318	318-346-2830			
First Union Cemetery	1537 Bordelon Road	Bunkie	LA	 71322	318-346-6947			
First United Methodist Cemetery	404 W. Plaquemine St.	Church Point	LA	 70525	337-684-6532			
First United Methodist Church Columbarium	500 Common Street	Shreveport	LA	 71101	318-424-7771			
First United Methodist Church Columbarium	2727 Jackson Street	Alexandria	LA	 71301	318-445-5696			
First United Pentecostal Church Cemetery	25525 Softball Field Road	Holden	LA	 70744	225-567-3270			
Flatwoods Cemetery	Hwy. 8	Flatwoods	LA	 71427	318-664-2014			
Fleming Cemetery	Rocks Creek & Fleming Cemetery Roads	Marthaville	LA	 71450	318-688-0251			
Florien Cemetery	Highway 171  North	Florien	LA	 71429	318-586-3655			
Floyd & Elaine Cowart Family Cemetery	28900 Cowart Road	Holden	LA	 70744				
Fontenot Family Burial Ground	Bob Hayes Road	Deridder	LA	 70634	337-463-5531			
Forbing Union Cemetery	245 Overton Brooks Road	Shreveport	LA	 71119	318-349-6633			
Forest Lawn Cemetery	1751 Gause Blvd.  West	Slidell	LA	 70460	985-643-5722			
Forest Lawn Cemetery	7445 Hwy 17	Pioneer	LA	 71266	318-428-2095			
Forest Lawn Cemetery	2500 West California Avenue	Ruston	LA	 71272	318-255-4739			
Forest Lawn Memorial Cemetery	153 Alexandria Highway	Leesville	LA	 71446	337-392-2648			
Forest Lawn Memorial Park & Mausoleum	4000 Monroe Hwy.	Pineville	LA	 71360	318-640-1375			
Forest Mosley Family Burial Ground	336 State Park Road	Chatham	LA	 71226	318-249-2983			
Forest Park East Cemetery	3700 St. Vincent Ave.	Shreveport	LA	 71103	318-861-3544			
Forest Park West Cemetery	4000 Meriweather Rd.	Shreveport	LA	 71138	318-686-1461			
Foster Cemetery	425 Mack Foster Road	Haynesville	LA	 71038	318-571-4364			
Foster Family Cemetery	Perrin Ferry Road	Springfield	LA	 70462	225-294-3603			
Fountain Memorial Garden & Mausoleum	Pandora Drive	Lafayette	LA	 70506	337-981-7098			
Fowler Garden Family Cemetery	302 Warren Road	Oak Grove	LA	 71263	318-428-2787			
Foy Family Cemetery	Harvey Lavigne Road	Robert	LA	 70455	985-345-3058			
Franklin Cemetery	1202 Main Street	Franklin	LA	 70538	337-828-6310			
Franklin-Duncan Family Cemetery	26550 Mohon Road	Angie	LA	 70426	985-634-4980			
Frederic Leo Schilling, Sr. Family Cemetery	38705 Whiskey Island Road	Ponchatoula	LA	 70454	985-974-2838			
Free Spirits	111 Wagon Trace	Sibley	LA	 71073	318-272-3641			
French Cemetery	Hwy. 107	Effie	LA	 71331	318-253-8223			
Frey Cemetery	La. Hwy. 370	Mowata	LA	 70535	337-457-2739			
Friendship Cemetery	1071 Friendship Road	Pine Prairie	LA	 70576	337-599-2707			
Friendship Memorial Cemetery	16507 Hwy. 4	Bienville	LA	 71008	318-475-2540			
Frierson Catholic Cemetery	Friendship Road	Frierson	LA	 71027	318-872-1158			
Frogmore Cemetery	Highway 84  West	Frogmore	LA	 71335	318-757-4080			
Frogmore Plantation	11656 Hwy 84	Frogmore	LA	 71334	318-757-3333			
Fryer Family Cemetery	514 Brownell Road	Winnsboro	LA	 71295	318-435-7855			
Fullerton Cemetery	328 Fullerton Blacktop Road	Pitkin	LA	 70656	318-358-5280			
Fuselier Plot	4257 Spring Prairie Rd	Mamou	LA	 70554	337-230-4673			
Futrell Family Cemetery	Nelms Loop Road	Colfax	LA	 71417	318-627-3310			
G. F. Tycer Family Cemetery	Faller Road	Natalbany	LA	 70451	985-345-7724			
G. G.'s Charnel House	312 Bernard Drive	New Iberia	LA	 70560	337-365-8779			
Gaither Memorial Cemetery	Gould Street	Lake Providence	LA	 71254	318-418-0541			
Galilee Baptist Cemetery	Martin Road	Plain Dealing	LA	 71064	318-326-5178			
Galilee Baptist Church Cemetery	339 Jones Road	Haughton	LA	 71037	318-949-0955			
Galilee Baptist Church Cemetery	Hwy. 143	Springfield	LA	 70462	985-507-1285			
Galilee Baptist Church Cemetery	7052 Galilee Church Road	St. Francisville	LA	 70775	225-635-4727			
Gallaspy Cemetery	14046 Hwy 171	Mansfield	LA	 71052	318-872-9880			
Galvez Baptist Church Cemetery	43467 Hwy 42	Prairieville	LA	 70769	225-290-1938			
Galvez Pentecostal Cemetery	Cemetery Road	Gonzales	LA	 70737	225-622-2915			
Gandy Baptist Church Cemetery	39775 Hwy. 171	Florien	LA	 71429	318-586-7417			
Garden District Cemetery	Highway  21	Covington	LA	 70433	985-892-2343			
Garden of Memories	Highway 84 West	Winnfield	LA	 71483	318-628-6921			
Garden of Memories	1851 N. Sabine Street	Zwolle	LA	 71486	318-645-6378			
Garden of Memories	11123 Hwy. 1216	Many	LA	 71449	318-256-9091			
Garden of Memories	3658 W. Main St.	Gray	LA	 70359	985-872-4238			
Garden of Memories	Danville Highway	Jonesboro	LA	 71251	318-259-6402			
Garden of Memories	4800 Airline Hwy.	Metairie	LA	 70001-5694	504-833-3786			
Garden of Memory	210 Murria St.	Cullen	LA	 71021	318-994-3346			
Garden of Memory Cemetery	218 Ford Road	Opelousas	LA	 70570	337-948-1764			
Garden of Pines	1400 N. Columbia St.	Covington	LA	 70433	985-892-1811			
Garden of Rest	13140 Velma Road	Amite	LA	 70422	985-517-3694			
Garden of the Angel	61089 North Tranquility	Lacombe	LA	 70445	985-882-6247			
Gardenia Gardens	36 Diane Drive	Rayville	LA	 71269	318-728-6400			
Gardens of Memory	Lewisville Road	Minden	LA	 71055	318-377-3363			
Gardens of Mercy	Mondy Road	Ruston	LA	 71270	318-255-6902			
Gardens of Peace	148 Walter Lyons Road	Minden	LA	 71055	318-938-7011			
Gardner-Hinckley Cemetery	402 Hinckley St.	Washington	LA	 70589	337-826-7425			
Gate of Heaven Cemetery	West Lincoln Street	Ville Platte	LA	 70586	337-363-7171			
Gate of Heaven Mausoleum	Pecan St	Bunkie	LA	 71322	318-346-7274			
Gates of Prayer-Canal Street	4824 Canal St.	New Orleans	LA	 70119	504-885-2600			
Gates of Prayer-Joseph Street	1411 Joseph St.	New Orleans	LA	 70113	504-885-2600			
Gateway Cemetery	18143 Hwy. 1  North	Vivian	LA	 71082	318-375-2947			
Gateway Gardens	29245 Magnolia Street	Livingston	LA	 70754	225-686-7979			
Gauley Family Cemetery	39129 McQueen Road	Pearl River	LA	 70452	985-290-9741			
Gayla Traina Memorial Cemetery	Highway 167  South	Jonesboro	LA	 71251	318-259-6402			
Geneve's Little Hill	18337 Gene Williams Road	Franklinton	LA	 70438	985-839-2726			
George & Iva McBroom Cemetery	Roger Miller Road	Baskin	LA	 71219	318-248-3458			
George Dawson Family Cemetery	83470 Hwy. 25	Folsum	LA	 70437	985-796-5652			
George Freeman Family Cemetery	Red Rock Lane	Farmerville	LA	 71241	318-805-6270			
George Link Hughes, Jr. Family Burial Ground	167 Phillip James Road	Leesville	LA	 71446	337-286-5176			
George Martin Family Cemetery	Highway 63	Livingston	LA	 70754	225-241-2056			
George Washington Carver Memorial Park	Chatham Hwy.	Ruston	LA	 71270	318-255-7386			
Gethsemane Gardens Cemetery	Martin Luther King  Jr. Drive	Lafayette	LA	 70501	337-233-2478			
Gheens Presbyterian Cemetery	2640 Hwy. 654	Gheens	LA	 70355	985-532-5916			
Gibson Baptist Cemetery	5937 Bayou Black Drive	Gibson	LA	 70356-3522	985-575-3460			
Gibson Cemetery	6330 South Bayou Black Dr.	Gibson	LA	 70356	985-872-1771			
Gibson Family Cemetery	29062 Hwy 16	Bogalusa	LA	 70427	504-905-0353			
Gill Cemetery	12064 Highway 1064	Tickfaw	LA	 70466	985-542-1756			
Gill Family Cemetery	12544 Elzie Cowart Road	Denham Springs	LA	 70706	225-665-2513			
Ginn's Memorial Cemetery	17083 Ruffin Road	Kentwood	LA	 70444	985-747-2076			
Girlinghouse Hill Memorial Park	7854 Hwy. 8	Harrisonburg	LA	 71340	318-744-9209			
Gold Mine Family Cemetery	Maple Ridge Road	Mangham	LA	 71259	318-248-3496			
Golden Chain Baptist Church Cemetery	Hwy. 362	Cottonport	LA	 71327	318-876-2595			
Golden Ridge Cemetery	27330 Hwy. 405	Plaquemine	LA	 70764	225-687-3966			
Golden Wreath	 Knight of Honor Cemetery	Labray Street & Causaule	LA	ray Street & Causaule, St  LA	70071			
Golden Wreath, Knight of Honor Cemetery	Labray Street & Causaule Street	Lutcher	LA	 70071	225-206-1616			
Goldman Family Cemetery	Sudan Plantation	Waterproof	LA	 71375	318-749-5526			
Good Samaritan Cemetery	Arlington Street	Lake Providence	LA	 71254	318-559-3889			
Good Shepherd Episcopal Columbarium	715 Kirkman St.	Lake Charles	LA	 70601	337-433-5244			
Goodly Cemetery	7038 Hwy. 165	Oberlin	LA	 70655	337-639-2255			
Goos Cemetery Moss Bluff	1530 Joe Miller Road	Lake Charles	LA	 70611	337-479-1737			
Gordon Hertage Cemetery	182 Hubie Lewis Road	Haynesville	LA	 71038	281-728-2493			
Gordon Park Cemetery	19038 Hwy. 105	Melville	LA	 71353	337-623-4659			
Gov. John J. McKeithen Family Cemetery	Hogan Plantation	Columbia	LA	 71418	225-47-6836			
Grace Christian Memorial Garden	2600 Coteau Road	Houma	LA	 70364	985-868-7937			
Grace Episcopal Church Columbarium	405 Glenmar Ave	Monroe	LA	 71201	318-387-6646			
Grace Memorial Park	331 Frasier Street	Merryville	LA	 70653	337-460-1375			
Grace Memorial Park	Bayou Jacob Road	Plaquemine	LA	 70764	225-687-4476			
Grace Missionary Cemetery	La. Hwy. 85 - Hubert Road	Jeanerette	LA	 70544	337-276-7335			
